daisy-chain:        0.0142% 		 1 / 7042
settling:           0.0142% 		 1 / 7042
difficulties:       0.0142% 		 1 / 7042
screaming:          0.0142% 		 1 / 7042
search:             0.0142% 		 1 / 7042
engaged:            0.0142% 		 1 / 7042
croqueting:         0.0142% 		 1 / 7042
helpless:           0.0142% 		 1 / 7042
appealed:           0.0142% 		 1 / 7042
settle:             0.0142% 		 1 / 7042
arguments:          0.0142% 		 1 / 7042
prison:             0.0142% 		 1 / 7042
arrow:              0.0142% 		 1 / 7042
fading:             0.0142% 		 1 / 7042
affectionately:     0.0142% 		 1 / 7042
pleasant:           0.0142% 		 1 / 7042
hopeful:            0.0142% 		 1 / 7042
hot-tempered:       0.0142% 		 1 / 7042
vinegar:            0.0142% 		 1 / 7042
sour:               0.0142% 		 1 / 7042
camomile:           0.0142% 		 1 / 7042
bitter:             0.0142% 		 1 / 7042
barley-sugar:       0.0142% 		 1 / 7042
sweet-tempered:     0.0142% 		 1 / 7042
stingy:             0.0142% 		 1 / 7042
squeezed:           0.0142% 		 1 / 7042
closer:             0.0142% 		 1 / 7042
uncomfortably:      0.0142% 		 1 / 7042
bore:               0.0142% 		 1 / 7042
minding:            0.0142% 		 1 / 7042
morals:             0.0142% 		 1 / 7042
waist:              0.0142% 		 1 / 7042
feather:            0.0142% 		 1 / 7042
flock:              0.0142% 		 1 / 7042
mineral:            0.0142% 		 1 / 7042
mustard-mine:       0.0142% 		 1 / 7042
attended:           0.0142% 		 1 / 7042
vegetable:          0.0142% 		 1 / 7042
cheap:              0.0142% 		 1 / 7042
birthday:           0.0142% 		 1 / 7042
dig:                0.0142% 		 1 / 7042
worried:            0.0142% 		 1 / 7042
died:               0.0142% 		 1 / 7042
favourite:          0.0142% 		 1 / 7042
linked:             0.0142% 		 1 / 7042
tremble:            0.0142% 		 1 / 7042
thunderstorm:       0.0142% 		 1 / 7042
fair:               0.0142% 		 1 / 7042
warning:            0.0142% 		 1 / 7042
absence:            0.0142% 		 1 / 7042
shade:              0.0142% 		 1 / 7042
delay:              0.0142% 		 1 / 7042
cost:               0.0142% 		 1 / 7042
sentenced:          0.0142% 		 1 / 7042
company:            0.0142% 		 1 / 7042
pardoned:           0.0142% 		 1 / 7042
picture:            0.0142% 		 1 / 7042
lazy:               0.0142% 		 1 / 7042
leaving:            0.0142% 		 1 / 7042
rubbed:             0.0142% 		 1 / 7042
chuckled:           0.0142% 		 1 / 7042
executes:           0.0142% 		 1 / 7042
ledge:              0.0142% 		 1 / 7042
rock:               0.0142% 		 1 / 7042
pitied:             0.0142% 		 1 / 7042
hollow:             0.0142% 		 1 / 7042
occasional:         0.0142% 		 1 / 7042
exclamation:        0.0142% 		 1 / 7042
hjckrrh:            0.0142% 		 1 / 7042
calmly:             0.0142% 		 1 / 7042
sink:               0.0142% 		 1 / 7042
educations:         0.0142% 		 1 / 7042
day-school:         0.0142% 		 1 / 7042
extras:             0.0142% 		 1 / 7042
learned:            0.0142% 		 1 / 7042
extra:              0.0142% 		 1 / 7042
afford:             0.0142% 		 1 / 7042
inquired:           0.0142% 		 1 / 7042
reeling:            0.0142% 		 1 / 7042
writhing:           0.0142% 		 1 / 7042
arithmetic:         0.0142% 		 1 / 7042
ambition:           0.0142% 		 1 / 7042
distraction:        0.0142% 		 1 / 7042
derision:           0.0142% 		 1 / 7042
lifted:             0.0142% 		 1 / 7042
uglifying:          0.0142% 		 1 / 7042
beautify:           0.0142% 		 1 / 7042
prettier:           0.0142% 		 1 / 7042
uglify:             0.0142% 		 1 / 7042
simpleton:          0.0142% 		 1 / 7042
encouraged:         0.0142% 		 1 / 7042
counting:           0.0142% 		 1 / 7042
subjects:           0.0142% 		 1 / 7042
flappers:           0.0142% 		 1 / 7042
ancient:            0.0142% 		 1 / 7042
modern:             0.0142% 		 1 / 7042
seaography:         0.0142% 		 1 / 7042
drawling-master:    0.0142% 		 1 / 7042
conger-eel:         0.0142% 		 1 / 7042
fainting:           0.0142% 		 1 / 7042
coils:              0.0142% 		 1 / 7042
stiff:              0.0142% 		 1 / 7042
classics:           0.0142% 		 1 / 7042
grief:              0.0142% 		 1 / 7042
lessen:             0.0142% 		 1 / 7042
eleventh:           0.0142% 		 1 / 7042
holiday:            0.0142% 		 1 / 7042
twelfth:            0.0142% 		 1 / 7042
games:              0.0142% 		 1 / 7042
flapper:            0.0142% 		 1 / 7042
bone:               0.0142% 		 1 / 7042
punching:           0.0142% 		 1 / 7042
cheeks:             0.0142% 		 1 / 7042
introduced:         0.0142% 		 1 / 7042
form:               0.0142% 		 1 / 7042
sea-shore:          0.0142% 		 1 / 7042
lines:              0.0142% 		 1 / 7042
seals:              0.0142% 		 1 / 7042
salmon:             0.0142% 		 1 / 7042
cleared:            0.0142% 		 1 / 7042
jelly-fish:         0.0142% 		 1 / 7042
partner:            0.0142% 		 1 / 7042
partners:           0.0142% 		 1 / 7042
retire:             0.0142% 		 1 / 7042
bound:              0.0142% 		 1 / 7042
somersault:         0.0142% 		 1 / 7042
capering:           0.0142% 		 1 / 7042
yelled:             0.0142% 		 1 / 7042
land:               0.0142% 		 1 / 7042
dropping:           0.0142% 		 1 / 7042
pretty:             0.0142% 		 1 / 7042
forepaws:           0.0142% 		 1 / 7042
shingle:            0.0142% 		 1 / 7042
askance:            0.0142% 		 1 / 7042
thanked:            0.0142% 		 1 / 7042
scaly:              0.0142% 		 1 / 7042
england:            0.0142% 		 1 / 7042
france:             0.0142% 		 1 / 7042
beloved:            0.0142% 		 1 / 7042
thrown:             0.0142% 		 1 / 7042
shiny:              0.0142% 		 1 / 7042
blacking:           0.0142% 		 1 / 7042
soles:              0.0142% 		 1 / 7042
eels:               0.0142% 		 1 / 7042
shrimp:             0.0142% 		 1 / 7042
journey:            0.0142% 		 1 / 7042
purpose:            0.0142% 		 1 / 7042
impatient:          0.0142% 		 1 / 7042
explanations:       0.0142% 		 1 / 7042
gained:             0.0142% 		 1 / 7042
listeners:          0.0142% 		 1 / 7042
sluggard:           0.0142% 		 1 / 7042
baked:              0.0142% 		 1 / 7042
sugar:              0.0142% 		 1 / 7042
eyelids:            0.0142% 		 1 / 7042
trims:              0.0142% 		 1 / 7042
belt:               0.0142% 		 1 / 7042
buttons:            0.0142% 		 1 / 7042
sands:              0.0142% 		 1 / 7042
gay:                0.0142% 		 1 / 7042
lark:               0.0142% 		 1 / 7042
contemptuous:       0.0142% 		 1 / 7042
shark:              0.0142% 		 1 / 7042
tide:               0.0142% 		 1 / 7042
rises:              0.0142% 		 1 / 7042
sharks:             0.0142% 		 1 / 7042
tremulous:          0.0142% 		 1 / 7042
uncommon:           0.0142% 		 1 / 7042
explained:          0.0142% 		 1 / 7042
disobey:            0.0142% 		 1 / 7042
sharing:            0.0142% 		 1 / 7042
pie-crust:          0.0142% 		 1 / 7042
gravy:              0.0142% 		 1 / 7042
meat:               0.0142% 		 1 / 7042
share:              0.0142% 		 1 / 7042
treat:              0.0142% 		 1 / 7042
boon:               0.0142% 		 1 / 7042
permitted:          0.0142% 		 1 / 7042
received:           0.0142% 		 1 / 7042
fork:               0.0142% 		 1 / 7042
banquet:            0.0142% 		 1 / 7042
accounting:         0.0142% 		 1 / 7042
tastes:             0.0142% 		 1 / 7042
rich:               0.0142% 		 1 / 7042
tureen:             0.0142% 		 1 / 7042
dainties:           0.0142% 		 1 / 7042
ennyworth:          0.0142% 		 1 / 7042
pennyworth:         0.0142% 		 1 / 7042
beauti:             0.0142% 		 1 / 7042
ful:                0.0142% 		 1 / 7042
panted:             0.0142% 		 1 / 7042
faintly:            0.0142% 		 1 / 7042
breeze:             0.0142% 		 1 / 7042
seated:             0.0142% 		 1 / 7042
throne:             0.0142% 		 1 / 7042
arrived:            0.0142% 		 1 / 7042
standing:           0.0142% 		 1 / 7042
chains:             0.0142% 		 1 / 7042
soldier:            0.0142% 		 1 / 7042
guard:              0.0142% 		 1 / 7042
refreshments:       0.0142% 		 1 / 7042
pass:               0.0142% 		 1 / 7042
justice:            0.0142% 		 1 / 7042
books:              0.0142% 		 1 / 7042
wore:               0.0142% 		 1 / 7042
frontispiece:       0.0142% 		 1 / 7042
comfortable:        0.0142% 		 1 / 7042
rightly:            0.0142% 		 1 / 7042
jury-men:           0.0142% 		 1 / 7042
indignant:          0.0142% 		 1 / 7042
spell:              0.0142% 		 1 / 7042
neighbour:          0.0142% 		 1 / 7042
muddle:             0.0142% 		 1 / 7042
slatesll:           0.0142% 		 1 / 7042
pencil:             0.0142% 		 1 / 7042
squeaked:           0.0142% 		 1 / 7042
juror:              0.0142% 		 1 / 7042
herald:             0.0142% 		 1 / 7042
accusation:         0.0142% 		 1 / 7042
arm-in-arm:         0.0142% 		 1 / 7042
fourteenth:         0.0142% 		 1 / 7042
fifteenth:          0.0142% 		 1 / 7042
sixteenth:          0.0142% 		 1 / 7042
dates:              0.0142% 		 1 / 7042
reduced:            0.0142% 		 1 / 7042
shillings:          0.0142% 		 1 / 7042
pence:              0.0142% 		 1 / 7042
hat:                0.0142% 		 1 / 7042
stolen:             0.0142% 		 1 / 7042
memorandum:         0.0142% 		 1 / 7042
fidgeted:           0.0142% 		 1 / 7042
spot:               0.0142% 		 1 / 7042
encourage:          0.0142% 		 1 / 7042
shifting:           0.0142% 		 1 / 7042
remain:             0.0142% 		 1 / 7042
squeeze:            0.0142% 		 1 / 7042
boldly:             0.0142% 		 1 / 7042
reasonable:         0.0142% 		 1 / 7042
pace:               0.0142% 		 1 / 7042
ridiculous:         0.0142% 		 1 / 7042
dunce:              0.0142% 		 1 / 7042
twinkled:           0.0142% 		 1 / 7042
denies:             0.0142% 		 1 / 7042
speaker:            0.0142% 		 1 / 7042
canvas:             0.0142% 		 1 / 7042
bag:                0.0142% 		 1 / 7042
tied:               0.0142% 		 1 / 7042
strings:            0.0142% 		 1 / 7042
newspapers:         0.0142% 		 1 / 7042
trials:             0.0142% 		 1 / 7042
attempts:           0.0142% 		 1 / 7042
applause:           0.0142% 		 1 / 7042
understood:         0.0142% 		 1 / 7042
officer:            0.0142% 		 1 / 7042
pepper-box:         0.0142% 		 1 / 7042
folding:            0.0142% 		 1 / 7042
collar:             0.0142% 		 1 / 7042
shrieked:           0.0142% 		 1 / 7042
behead:             0.0142% 		 1 / 7042
suppress:           0.0142% 		 1 / 7042
ache:               0.0142% 		 1 / 7042
fumbled:            0.0142% 		 1 / 7042
flurry:             0.0142% 		 1 / 7042
tipped:             0.0142% 		 1 / 7042
skirt:              0.0142% 		 1 / 7042
upsetting:          0.0142% 		 1 / 7042
sprawling:          0.0142% 		 1 / 7042
reminding:          0.0142% 		 1 / 7042
globe:              0.0142% 		 1 / 7042
accidentally:       0.0142% 		 1 / 7042
dismay:             0.0142% 		 1 / 7042
vague:              0.0142% 		 1 / 7042
die:                0.0142% 		 1 / 7042
emphasis:           0.0142% 		 1 / 7042
haste:              0.0142% 		 1 / 7042
unable:             0.0142% 		 1 / 7042
signifies:          0.0142% 		 1 / 7042
shock:              0.0142% 		 1 / 7042
pencils:            0.0142% 		 1 / 7042
diligently:         0.0142% 		 1 / 7042
overcome:           0.0142% 		 1 / 7042
gazing:             0.0142% 		 1 / 7042
respectful:         0.0142% 		 1 / 7042
cackled:            0.0142% 		 1 / 7042
forty-two:          0.0142% 		 1 / 7042
persons:            0.0142% 		 1 / 7042
invented:           0.0142% 		 1 / 7042
handwriting:        0.0142% 		 1 / 7042
queerest:           0.0142% 		 1 / 7042
imitated:           0.0142% 		 1 / 7042
prove:              0.0142% 		 1 / 7042
sign:               0.0142% 		 1 / 7042
mischief:           0.0142% 		 1 / 7042
honest:             0.0142% 		 1 / 7042
clapping:           0.0142% 		 1 / 7042
guilt:              0.0142% 		 1 / 7042
character:          0.0142% 		 1 / 7042
push:               0.0142% 		 1 / 7042
involved:           0.0142% 		 1 / 7042
affair:             0.0142% 		 1 / 7042
trusts:             0.0142% 		 1 / 7042
obstacle:           0.0142% 		 1 / 7042
secret:             0.0142% 		 1 / 7042
sixpence:           0.0142% 		 1 / 7042
attempted:          0.0142% 		 1 / 7042
saves:              0.0142% 		 1 / 7042
spreading:          0.0142% 		 1 / 7042
cardboard:          0.0142% 		 1 / 7042
clearer:            0.0142% 		 1 / 7042
fits:               0.0142% 		 1 / 7042
furiously:          0.0142% 		 1 / 7042
inkstand:           0.0142% 		 1 / 7042
ink:                0.0142% 		 1 / 7042
trickling:          0.0142% 		 1 / 7042
pun:                0.0142% 		 1 / 7042
twentieth:          0.0142% 		 1 / 7042
purple:             0.0142% 		 1 / 7042
rose:               0.0142% 		 1 / 7042
flying:             0.0142% 		 1 / 7042
brushing:           0.0142% 		 1 / 7042
fluttered:          0.0142% 		 1 / 7042
kissed:             0.0142% 		 1 / 7042
setting:            0.0142% 		 1 / 7042
dreaming:           0.0142% 		 1 / 7042
dreamed:            0.0142% 		 1 / 7042
clasped:            0.0142% 		 1 / 7042
toss:               0.0142% 		 1 / 7042
listened:           0.0142% 		 1 / 7042
rustled:            0.0142% 		 1 / 7042
splashed:           0.0142% 		 1 / 7042
neighbouring:       0.0142% 		 1 / 7042
rattle:             0.0142% 		 1 / 7042
shared:             0.0142% 		 1 / 7042
never-ending:       0.0142% 		 1 / 7042
meal:               0.0142% 		 1 / 7042
pig-baby:           0.0142% 		 1 / 7042
crashed:            0.0142% 		 1 / 7042
slate-pencil:       0.0142% 		 1 / 7042
choking:            0.0142% 		 1 / 7042
believed:           0.0142% 		 1 / 7042
reality:            0.0142% 		 1 / 7042
rustling:           0.0142% 		 1 / 7042
rippling:           0.0142% 		 1 / 7042
reeds:              0.0142% 		 1 / 7042
tinkling:           0.0142% 		 1 / 7042
sheep-bells:        0.0142% 		 1 / 7042
cries:              0.0142% 		 1 / 7042
shepherd:           0.0142% 		 1 / 7042
noises:             0.0142% 		 1 / 7042
clamour:            0.0142% 		 1 / 7042
farm-yard:          0.0142% 		 1 / 7042
lowing:             0.0142% 		 1 / 7042
cattle:             0.0142% 		 1 / 7042
lastly:             0.0142% 		 1 / 7042
pictured:           0.0142% 		 1 / 7042
after-time:         0.0142% 		 1 / 7042
riper:              0.0142% 		 1 / 7042
loving:             0.0142% 		 1 / 7042
childhood:          0.0142% 		 1 / 7042
gather:             0.0142% 		 1 / 7042
sorrows:            0.0142% 		 1 / 7042
joys:               0.0142% 		 1 / 7042
remembering:        0.0142% 		 1 / 7042
child-life:         0.0142% 		 1 / 7042
happy:              0.0142% 		 1 / 7042
conversations:      0.0284% 		 2 / 7042
pleasure:           0.0284% 		 2 / 7042
picking:            0.0284% 		 2 / 7042
remarkable:         0.0284% 		 2 / 7042
occurred:           0.0284% 		 2 / 7042
waistcoat-pocket:   0.0284% 		 2 / 7042
started:            0.0284% 		 2 / 7042
hedge:              0.0284% 		 2 / 7042
straight:           0.0284% 		 2 / 7042
dipped:             0.0284% 		 2 / 7042
falling:            0.0284% 		 2 / 7042
plenty:             0.0284% 		 2 / 7042
cupboards:          0.0284% 		 2 / 7042
jar:                0.0284% 		 2 / 7042
tumbling:           0.0284% 		 2 / 7042
learnt:             0.0284% 		 2 / 7042
latitude:           0.0284% 		 2 / 7042
longitude:          0.0284% 		 2 / 7042
presently:          0.0284% 		 2 / 7042
dinahll:            0.0284% 		 2 / 7042
tea-time:           0.0284% 		 2 / 7042
earnestly:          0.0284% 		 2 / 7042
thump:              0.0284% 		 2 / 7042
wind:               0.0284% 		 2 / 7042
row:                0.0284% 		 2 / 7042
doors:              0.0284% 		 2 / 7042
three-legged:       0.0284% 		 2 / 7042
locks:              0.0284% 		 2 / 7042
longed:             0.0284% 		 2 / 7042
flowers:            0.0284% 		 2 / 7042
cool:               0.0284% 		 2 / 7042
fountains:          0.0284% 		 2 / 7042
shutting:           0.0284% 		 2 / 7042
label:              0.0284% 		 2 / 7042
beautifully:        0.0284% 		 2 / 7042
wise:               0.0284% 		 2 / 7042
wild:               0.0284% 		 2 / 7042
beasts:             0.0284% 		 2 / 7042
unpleasant:         0.0284% 		 2 / 7042
friends:            0.0284% 		 2 / 7042
burn:               0.0284% 		 2 / 7042
knife:              0.0284% 		 2 / 7042
sooner:             0.0284% 		 2 / 7042
taste:              0.0284% 		 2 / 7042
mixed:              0.0284% 		 2 / 7042
brightened:         0.0284% 		 2 / 7042
lovely:             0.0284% 		 2 / 7042
crying:             0.0284% 		 2 / 7042
advice:             0.0284% 		 2 / 7042
playing:            0.0284% 		 2 / 7042
curiouser:          0.0284% 		 2 / 7042
forgot:             0.0284% 		 2 / 7042
sending:            0.0284% 		 2 / 7042
struck:             0.0284% 		 2 / 7042
ashamed:            0.0284% 		 2 / 7042
trotting:           0.0284% 		 2 / 7042
ringlets:           0.0284% 		 2 / 7042
paris:              0.0284% 		 2 / 7042
rome:               0.0284% 		 2 / 7042
lap:                0.0284% 		 2 / 7042
neatly:             0.0284% 		 2 / 7042
claws:              0.0284% 		 2 / 7042
smiling:            0.0284% 		 2 / 7042
jaws:               0.0284% 		 2 / 7042
rapidly:            0.0284% 		 2 / 7042
narrow:             0.0284% 		 2 / 7042
declare:            0.0284% 		 2 / 7042
bad:                0.0284% 		 2 / 7042
salt:               0.0284% 		 2 / 7042
railway:            0.0284% 		 2 / 7042
conclusion:         0.0284% 		 2 / 7042
splashing:          0.0284% 		 2 / 7042
swimming:           0.0284% 		 2 / 7042
wink:               0.0284% 		 2 / 7042
conqueror:          0.0284% 		 2 / 7042
fright:             0.0284% 		 2 / 7042
animal:             0.0284% 		 2 / 7042
feelings:           0.0284% 		 2 / 7042
quiet:              0.0284% 		 2 / 7042
purring:            0.0284% 		 2 / 7042
nicely:             0.0284% 		 2 / 7042
catching:           0.0284% 		 2 / 7042
brown:              0.0284% 		 2 / 7042
dinner:             0.0284% 		 2 / 7042
belongs:            0.0284% 		 2 / 7042
sorrowful:          0.0284% 		 2 / 7042
hate:               0.0284% 		 2 / 7042
assembled:          0.0284% 		 2 / 7042
wet:                0.0284% 		 2 / 7042
knowing:            0.0284% 		 2 / 7042
authority:          0.0284% 		 2 / 7042
edwin:              0.0284% 		 2 / 7042
morcar:             0.0284% 		 2 / 7042
earls:              0.0284% 		 2 / 7042
mercia:             0.0284% 		 2 / 7042
northumbria:        0.0284% 		 2 / 7042
ugh:                0.0284% 		 2 / 7042
proceed:            0.0284% 		 2 / 7042
archbishop:         0.0284% 		 2 / 7042
advisable:          0.0284% 		 2 / 7042
frog:               0.0284% 		 2 / 7042
hurriedly:          0.0284% 		 2 / 7042
meet:               0.0284% 		 2 / 7042
offer:              0.0284% 		 2 / 7042
smile:              0.0284% 		 2 / 7042
easy:               0.0284% 		 2 / 7042
race:               0.0284% 		 2 / 7042
hour:               0.0284% 		 2 / 7042
panting:            0.0284% 		 2 / 7042
forehead:           0.0284% 		 2 / 7042
position:           0.0284% 		 2 / 7042
comfits:            0.0284% 		 2 / 7042
luckily:            0.0284% 		 2 / 7042
absurd:             0.0284% 		 2 / 7042
caused:             0.0284% 		 2 / 7042
law:                0.0284% 		 2 / 7042
wasting:            0.0284% 		 2 / 7042
humbly:             0.0284% 		 2 / 7042
bend:               0.0284% 		 2 / 7042
knot:               0.0284% 		 2 / 7042
bird:               0.0284% 		 2 / 7042
sensation:          0.0284% 		 2 / 7042
throat:             0.0284% 		 2 / 7042
lonely:             0.0284% 		 2 / 7042
footsteps:          0.0284% 		 2 / 7042
ferrets:            0.0284% 		 2 / 7042
quick:              0.0284% 		 2 / 7042
messages:           0.0284% 		 2 / 7042
drunk:              0.0284% 		 2 / 7042
stoop:              0.0284% 		 2 / 7042
curled:             0.0284% 		 2 / 7042
unhappy:            0.0284% 		 2 / 7042
fancied:            0.0284% 		 2 / 7042
woman:              0.0284% 		 2 / 7042
trembled:           0.0284% 		 2 / 7042
proved:             0.0284% 		 2 / 7042
snatch:             0.0284% 		 2 / 7042
concluded:          0.0284% 		 2 / 7042
apples:             0.0284% 		 2 / 7042
goose:              0.0284% 		 2 / 7042
bear:               0.0284% 		 2 / 7042
feeble:             0.0284% 		 2 / 7042
squeaking:          0.0284% 		 2 / 7042
barrowful:          0.0284% 		 2 / 7042
shower:             0.0284% 		 2 / 7042
pebbles:            0.0284% 		 2 / 7042
rattling:           0.0284% 		 2 / 7042
hit:                0.0284% 		 2 / 7042
delighted:          0.0284% 		 2 / 7042
rush:               0.0284% 		 2 / 7042
safe:               0.0284% 		 2 / 7042
wandered:           0.0284% 		 2 / 7042
excellent:          0.0284% 		 2 / 7042
bark:               0.0284% 		 2 / 7042
stretching:         0.0284% 		 2 / 7042
coaxing:            0.0284% 		 2 / 7042
thistle:            0.0284% 		 2 / 7042
stretched:          0.0284% 		 2 / 7042
tiptoe:             0.0284% 		 2 / 7042
smoking:            0.0284% 		 2 / 7042
addressed:          0.0284% 		 2 / 7042
encouraging:        0.0284% 		 2 / 7042
contemptuously:     0.0284% 		 2 / 7042
anger:              0.0284% 		 2 / 7042
unfolded:           0.0284% 		 2 / 7042
busy:               0.0284% 		 2 / 7042
sell:               0.0284% 		 2 / 7042
weak:               0.0284% 		 2 / 7042
lasted:             0.0284% 		 2 / 7042
clever:             0.0284% 		 2 / 7042
changing:           0.0284% 		 2 / 7042
wretched:           0.0284% 		 2 / 7042
patiently:          0.0284% 		 2 / 7042
chose:              0.0284% 		 2 / 7042
yawned:             0.0284% 		 2 / 7042
taller:             0.0284% 		 2 / 7042
shorter:            0.0284% 		 2 / 7042
difficult:          0.0284% 		 2 / 7042
broke:              0.0284% 		 2 / 7042
nibbled:            0.0284% 		 2 / 7042
violent:            0.0284% 		 2 / 7042
blow:               0.0284% 		 2 / 7042
lefthand:           0.0284% 		 2 / 7042
alarm:              0.0284% 		 2 / 7042
follow:             0.0284% 		 2 / 7042
distant:            0.0284% 		 2 / 7042
wandering:          0.0284% 		 2 / 7042
beating:            0.0284% 		 2 / 7042
doubtfully:         0.0284% 		 2 / 7042
telling:            0.0284% 		 2 / 7042
matters:            0.0284% 		 2 / 7042
entangled:          0.0284% 		 2 / 7042
branches:           0.0284% 		 2 / 7042
fish-footman:       0.0284% 		 2 / 7042
invitation:         0.0284% 		 2 / 7042
laughed:            0.0284% 		 2 / 7042
extraordinary:      0.0284% 		 2 / 7042
constant:           0.0284% 		 2 / 7042
dreadful:           0.0284% 		 2 / 7042
muttered:           0.0284% 		 2 / 7042
drive:              0.0284% 		 2 / 7042
leaning:            0.0284% 		 2 / 7042
stirring:           0.0284% 		 2 / 7042
cauldron:           0.0284% 		 2 / 7042
pause:              0.0284% 		 2 / 7042
sneeze:             0.0284% 		 2 / 7042
introduce:          0.0284% 		 2 / 7042
throwing:           0.0284% 		 2 / 7042
plates:             0.0284% 		 2 / 7042
dishes:             0.0284% 		 2 / 7042
takes:              0.0284% 		 2 / 7042
twenty-four:        0.0284% 		 2 / 7042
hint:               0.0284% 		 2 / 7042
singing:            0.0284% 		 2 / 7042
sneezes:            0.0284% 		 2 / 7042
sang:               0.0284% 		 2 / 7042
threw:              0.0284% 		 2 / 7042
missed:             0.0284% 		 2 / 7042
twist:              0.0284% 		 2 / 7042
extremely:          0.0284% 		 2 / 7042
ugly:               0.0284% 		 2 / 7042
pigs:               0.0284% 		 2 / 7042
startled:           0.0284% 		 2 / 7042
explanation:        0.0284% 		 2 / 7042
denied:             0.0284% 		 2 / 7042
invited:            0.0284% 		 2 / 7042
raving:             0.0284% 		 2 / 7042
giddy:              0.0284% 		 2 / 7042
shaped:             0.0284% 		 2 / 7042
raised:             0.0284% 		 2 / 7042
tea-party:          0.0284% 		 2 / 7042
cushion:            0.0284% 		 2 / 7042
resting:            0.0284% 		 2 / 7042
wine:               0.0284% 		 2 / 7042
laid:               0.0284% 		 2 / 7042
personal:           0.0284% 		 2 / 7042
rude:               0.0284% 		 2 / 7042
wide:               0.0284% 		 2 / 7042
riddles:            0.0284% 		 2 / 7042
break:              0.0284% 		 2 / 7042
month:              0.0284% 		 2 / 7042
uneasily:           0.0284% 		 2 / 7042
meekly:             0.0284% 		 2 / 7042
cup:                0.0284% 		 2 / 7042
tells:              0.0284% 		 2 / 7042
clock:              0.0284% 		 2 / 7042
half-past:          0.0284% 		 2 / 7042
spoon:              0.0284% 		 2 / 7042
concert:            0.0284% 		 2 / 7042
pinch:              0.0284% 		 2 / 7042
wash:               0.0284% 		 2 / 7042
yawning:            0.0284% 		 2 / 7042
wake:               0.0284% 		 2 / 7042
pinched:            0.0284% 		 2 / 7042
sisters:            0.0284% 		 2 / 7042
names:              0.0284% 		 2 / 7042
living:             0.0284% 		 2 / 7042
triumphantly:       0.0284% 		 2 / 7042
treacle-well:       0.0284% 		 2 / 7042
sulkily:            0.0284% 		 2 / 7042
learning:           0.0284% 		 2 / 7042
interrupting:       0.0284% 		 2 / 7042
rubbing:            0.0284% 		 2 / 7042
manner:             0.0284% 		 2 / 7042
closed:             0.0284% 		 2 / 7042
painting:           0.0284% 		 2 / 7042
red:                0.0284% 		 2 / 7042
flat:               0.0284% 		 2 / 7042
carrying:           0.0284% 		 2 / 7042
courtiers:          0.0284% 		 2 / 7042
ornamented:         0.0284% 		 2 / 7042
royal:              0.0284% 		 2 / 7042
crimson:            0.0284% 		 2 / 7042
lie:                0.0284% 		 2 / 7042
smiled:             0.0284% 		 2 / 7042
fine:               0.0284% 		 2 / 7042
scream:             0.0284% 		 2 / 7042
flamingoes:         0.0284% 		 2 / 7042
body:               0.0284% 		 2 / 7042
laughing:           0.0284% 		 2 / 7042
unrolled:           0.0284% 		 2 / 7042
quarrelling:        0.0284% 		 2 / 7042
stamping:           0.0284% 		 2 / 7042
shouting:           0.0284% 		 2 / 7042
dispute:            0.0284% 		 2 / 7042
removed:            0.0284% 		 2 / 7042
fight:              0.0284% 		 2 / 7042
collected:          0.0284% 		 2 / 7042
disappeared:        0.0284% 		 2 / 7042
wildly:             0.0284% 		 2 / 7042
forget:             0.0284% 		 2 / 7042
tut:                0.0284% 		 2 / 7042
keeping:            0.0284% 		 2 / 7042
experiment:         0.0284% 		 2 / 7042
bite:               0.0284% 		 2 / 7042
mustard:            0.0284% 		 2 / 7042
agree:              0.0284% 		 2 / 7042
imagine:            0.0284% 		 2 / 7042
choice:             0.0284% 		 2 / 7042
custody:            0.0284% 		 2 / 7042
executions:         0.0284% 		 2 / 7042
sun:                0.0284% 		 2 / 7042
watched:            0.0284% 		 2 / 7042
heart:              0.0284% 		 2 / 7042
sorrow:             0.0284% 		 2 / 7042
heavy:              0.0284% 		 2 / 7042
relief:             0.0284% 		 2 / 7042
regular:            0.0284% 		 2 / 7042
uglification:       0.0284% 		 2 / 7042
mystery:            0.0284% 		 2 / 7042
drawling:           0.0284% 		 2 / 7042
recovered:          0.0284% 		 2 / 7042
delightful:         0.0284% 		 2 / 7042
turtles:            0.0284% 		 2 / 7042
dancing:            0.0284% 		 2 / 7042
treading:           0.0284% 		 2 / 7042
kindly:             0.0284% 		 2 / 7042
dinn:               0.0284% 		 2 / 7042
editions:           0.0284% 		 2 / 7042
tones:              0.0284% 		 2 / 7042
persisted:          0.0284% 		 2 / 7042
pie:                0.0284% 		 2 / 7042
cares:              0.0284% 		 2 / 7042
stole:              0.0284% 		 2 / 7042
scroll:             0.0284% 		 2 / 7042
parchment:          0.0284% 		 2 / 7042
wig:                0.0284% 		 2 / 7042
blew:               0.0284% 		 2 / 7042
blasts:             0.0284% 		 2 / 7042
summer:             0.0284% 		 2 / 7042
fashion:            0.0284% 		 2 / 7042
singers:            0.0284% 		 2 / 7042
deny:               0.0284% 		 2 / 7042
miserable:          0.0284% 		 2 / 7042
guinea-pig:         0.0284% 		 2 / 7042
cross-examine:      0.0284% 		 2 / 7042
undertone:          0.0284% 		 2 / 7042
goldfish:           0.0284% 		 2 / 7042
accident:           0.0284% 		 2 / 7042
note-book:          0.0284% 		 2 / 7042
mile:               0.0284% 		 2 / 7042
